,waktu,username,tweet
75,2022-06-15 12:40:45,PemkotaBogor,"Bogorian, ikuti Gerakan Bulan Deteksi Dini Penyakit Tidak Menular (PTM) mulai tanggal 15
Juni s.d 15 Juli 2022.

Yu… https://t.co/NbPXbL3ptF"
76,2022-06-15 12:37:03,LinaPurwati123,Baru kemarin bilang mau semangat ngelesinnya. Tapi tadi ngancel jadwal les karena rapotan dan nyampe rumah sore bgt… https://t.co/TCwPSfcZji
77,2022-06-15 12:04:49,RAdiumeffect,"Lucu yah saat pertamakali suka sama elu, beda kelas tapi satu ruang, ruang 9.3. Awal masuk lu belum ada bahkan gw b… https://t.co/vYAjVCXqJm"
78,2022-06-15 11:57:16,afriazi_,"@ian_ian1 @donnanovitaa Biarin aja, lembar PTM nya gua sobek2"
79,2022-06-15 10:30:11,Tahir22498255,@musmanmalik @SAB_1972 @AsmatMallick Ppp;Anp;Bnp;JuiF;PTM;ke L tu shuru sy he ap logo ne moo m liye hoye thy ab in… https://t.co/WiC6Thowjt
80,2022-06-15 10:25:08,jnkkmoonbit,bhahahhaha udah ada edaran buat daftar KKN 🥲 semester depan mulai ptm dan langsung milih konsentrasi trus semester… https://t.co/yT1Gx5Vxnt
81,2022-06-15 10:18:44,bruhprojects,"@sbmptnfess yah gk ikut, tp lolos ptm (mandiri)"
82,2022-06-15 09:43:01,strngrrrj,Suka since pertama ptm until now .
83,2022-06-15 09:22:49,kec_batununggal,"Camat Batununggal (Drs. Tarya, M.AP) dan Lurah Maleer (Warsan, SE, MM) Monitoring PTM di SMPN 62 dan SDN 63 dirangk… https://t.co/OZkrMu8lLy"
84,2022-06-15 09:13:22,Mymelodan,ptm ya vi un spoiler 😭😭😭😭
85,2022-06-15 09:07:29,chiquitweet,"ptm, kiero sekso"
86,2022-06-15 08:51:23,Suarajelata1,Ketua PTM Puncak Bersama Pengurusnya Ungkap Kekecewaan dengan Pengurus PTMSI Kabupaten Sinjai https://t.co/g9Fw24squ2
87,2022-06-15 08:45:57,HIMAIKMUnand,"Riset Burden of Diseases, 2018 melaporkan bahwa penyebab kematian telah terjadi perubahan penyebab kematian dari ta… https://t.co/TSl5IruWsQ"
88,2022-06-15 08:45:57,HIMAIKMUnand,Tantangan kesehatan di Indonesia salah satunya adalah terkait dengan Penyakit Tidak Menular (PTM). Angka PTM sejak… https://t.co/65TVRncLKM
89,2022-06-15 08:45:56,HIMAIKMUnand,"Saat ini Negara Indonesia sedang menghadapi triple burden / beban tiga kali lipat berbagai masalah penyakit : 
1. A… https://t.co/nVf0meZeA7"
90,2022-06-15 08:38:40,vanchalunataa,"ini hari kerja snd barenti napas ju ma andia ini makanan dong ju ktg liat kenyang kembali karena PTM 🥹
B yakin hari… https://t.co/sJNntONXLD"
91,2022-06-15 08:05:03,adityaarifb,"@urmyIights @collegemenfess Offline buat ptm, online buat ujian 👍"
92,2022-06-15 08:03:28,koosaky,JAEHYUN EN MILAN PTM NO MAMEN
93,2022-06-15 07:52:49,skywalk3r07,"ANAKIN POR FIN PTM!!!! 

#ObiWan"
94,2022-06-15 07:42:48,PolsekBukateja,Bripka Shabibul In'am Bhabinkamtibmas Desa Wirasaba mengikuti Sosialisasi Pembekalan dan Pelaksanaan Deteksi Dini F… https://t.co/NNcOrUjcLI
