waktu,username,tweet,tweet_cleaned,tweet_tokenization
6/9/2022 13:33,imigrasicilacap,"3.KAKANWIL KEMENKUMHAM JATENG, A YUSPAHRUDDIN: Tatap Muka Dengan Napi, Kalapas Kelas I Semarang: "" Pentingnya Selal… https://t.co/fGcCCChpGT",  kakanwil kemenkumham jateng  a yuspahruddin  tatap muka dengan napi  kalapas kelas i semarang    pentingnya selal  ,"['', 'kakanwil', 'kemenkumham', 'jateng', 'a', 'yuspahruddin', 'tatap', 'muka', 'dengan', 'napi', 'kalapas', 'kelas', 'i', 'semarang', 'pentingnya', 'selal', '']"
6/9/2022 13:09,LPTKendal,"3.KAKANWIL KEMENKUMHAM JATENG, A YUSPAHRUDDIN: Tatap Muka Dengan Napi, Kalapas Kelas I Semarang: "" Pentingnya Selal… https://t.co/XFoK6oQ1iT",  kakanwil kemenkumham jateng  a yuspahruddin  tatap muka dengan napi  kalapas kelas i semarang    pentingnya selal  ,"['', 'kakanwil', 'kemenkumham', 'jateng', 'a', 'yuspahruddin', 'tatap', 'muka', 'dengan', 'napi', 'kalapas', 'kelas', 'i', 'semarang', 'pentingnya', 'selal', '']"
6/9/2022 13:06,Bapas_Magelang,"KAKANWIL KEMENKUMHAM JATENG, A YUSPAHRUDDIN: Tatap Muka Dengan Napi, Kalapas Kelas I Semarang: "" Pentingnya Selalu… https://t.co/FQxNtmDK8N",kakanwil kemenkumham jateng  a yuspahruddin  tatap muka dengan napi  kalapas kelas i semarang    pentingnya selalu  ,"['kakanwil', 'kemenkumham', 'jateng', 'a', 'yuspahruddin', 'tatap', 'muka', 'dengan', 'napi', 'kalapas', 'kelas', 'i', 'semarang', 'pentingnya', 'selalu', '']"
6/9/2022 12:59,RUTAN_BNA,"3.KAKANWIL KEMENKUMHAM JATENG, A YUSPAHRUDDIN: Tatap Muka Dengan Napi, Kalapas Kelas I Semarang: "" Pentingnya Selal… https://t.co/fQSdZ1ANmQ",  kakanwil kemenkumham jateng  a yuspahruddin  tatap muka dengan napi  kalapas kelas i semarang    pentingnya selal  ,"['', 'kakanwil', 'kemenkumham', 'jateng', 'a', 'yuspahruddin', 'tatap', 'muka', 'dengan', 'napi', 'kalapas', 'kelas', 'i', 'semarang', 'pentingnya', 'selal', '']"
6/9/2022 12:51,lapaspekalongan,"KAKANWIL KEMENKUMHAM JATENG, A YUSPAHRUDDIN: Tatap Muka Dengan Napi, Kalapas Kelas I Semarang: "" Pentingnya Selalu… https://t.co/HKEgwHpLzS",kakanwil kemenkumham jateng  a yuspahruddin  tatap muka dengan napi  kalapas kelas i semarang    pentingnya selalu  ,"['kakanwil', 'kemenkumham', 'jateng', 'a', 'yuspahruddin', 'tatap', 'muka', 'dengan', 'napi', 'kalapas', 'kelas', 'i', 'semarang', 'pentingnya', 'selalu', '']"
6/9/2022 12:43,Bapas_Pwt,"KAKANWIL KEMENKUMHAM JATENG, A YUSPAHRUDDIN: Tatap Muka Dengan Napi, Kalapas Kelas I Semarang: "" Pentingnya Selalu… https://t.co/KzwOjmX5tx",kakanwil kemenkumham jateng  a yuspahruddin  tatap muka dengan napi  kalapas kelas i semarang    pentingnya selalu  ,"['kakanwil', 'kemenkumham', 'jateng', 'a', 'yuspahruddin', 'tatap', 'muka', 'dengan', 'napi', 'kalapas', 'kelas', 'i', 'semarang', 'pentingnya', 'selalu', '']"
6/9/2022 12:40,NarkotikaLapas,"KAKANWIL KEMENKUMHAM JATENG, A YUSPAHRUDDIN: Tatap Muka Dengan Napi, Kalapas Kelas I Semarang: "" Pentingnya Selalu… https://t.co/GEo1yAGdb5",kakanwil kemenkumham jateng  a yuspahruddin  tatap muka dengan napi  kalapas kelas i semarang    pentingnya selalu  ,"['kakanwil', 'kemenkumham', 'jateng', 'a', 'yuspahruddin', 'tatap', 'muka', 'dengan', 'napi', 'kalapas', 'kelas', 'i', 'semarang', 'pentingnya', 'selalu', '']"
6/9/2022 12:38,LPKA_Kutoarjo,"KAKANWIL KEMENKUMHAM JATENG, A YUSPAHRUDDIN: Tatap Muka Dengan Napi, Kalapas Kelas I Semarang: "" Pentingnya Selalu… https://t.co/fMjLXmVJDS",kakanwil kemenkumham jateng  a yuspahruddin  tatap muka dengan napi  kalapas kelas i semarang    pentingnya selalu  ,"['kakanwil', 'kemenkumham', 'jateng', 'a', 'yuspahruddin', 'tatap', 'muka', 'dengan', 'napi', 'kalapas', 'kelas', 'i', 'semarang', 'pentingnya', 'selalu', '']"
6/9/2022 12:36,lapas_magelang,"KAKANWIL KEMENKUMHAM JATENG, A YUSPAHRUDDIN: Tatap Muka Dengan Napi, Kalapas Kelas I Semarang: "" Pentingnya Selalu… https://t.co/qZ5OLDr2v4",kakanwil kemenkumham jateng  a yuspahruddin  tatap muka dengan napi  kalapas kelas i semarang    pentingnya selalu  ,"['kakanwil', 'kemenkumham', 'jateng', 'a', 'yuspahruddin', 'tatap', 'muka', 'dengan', 'napi', 'kalapas', 'kelas', 'i', 'semarang', 'pentingnya', 'selalu', '']"
6/9/2022 12:36,LapsustikNK,"3.KAKANWIL KEMENKUMHAM JATENG, A YUSPAHRUDDIN: Tatap Muka Dengan Napi, Kalapas Kelas I Semarang: "" Pentingnya Selal… https://t.co/hA1XxsGJrv",  kakanwil kemenkumham jateng  a yuspahruddin  tatap muka dengan napi  kalapas kelas i semarang    pentingnya selal  ,"['', 'kakanwil', 'kemenkumham', 'jateng', 'a', 'yuspahruddin', 'tatap', 'muka', 'dengan', 'napi', 'kalapas', 'kelas', 'i', 'semarang', 'pentingnya', 'selal', '']"
